t,beta,r,d,gamma,sigma
286,0.100395886,0.087368213,0.000361426,0.000102,0.05
287,0.100395886,0.087368213,0.000361426,0.000102,0.05
288,0.100395886,0.087368213,0.000361426,0.000102,0.05
289,0.100395886,0.087368213,0.000361426,0.000102,0.05
290,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
291,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
292,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
293,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
294,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
295,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
296,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
297,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
298,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
299,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
300,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
301,0.09668407,0.056088588,0.000234936,1.00E-04,0.05
302,0.08216545,0.08255125,0.000266648,0.000101,0.05
303,0.08216545,0.08255125,0.000266648,0.000101,0.05
304,0.08216545,0.08255125,0.000266648,0.000101,0.05
305,0.08216545,0.08255125,0.000266648,0.000101,0.05
306,0.08216545,0.08255125,0.000266648,0.000101,0.05
307,0.08216545,0.08255125,0.000266648,0.000101,0.05
308,0.08216545,0.08255125,0.000266648,0.000101,0.05
309,0.084271838,0.070710826,0.000292261,0.000100016,0.05
310,0.084271838,0.070710826,0.000292261,0.000100016,0.05
311,0.084271838,0.070710826,0.000292261,0.000100016,0.05
312,0.084271838,0.070710826,0.000292261,0.000100016,0.05
313,0.084271838,0.070710826,0.000292261,0.000100016,0.05
314,0.084271838,0.070710826,0.000292261,0.000100016,0.05
315,0.084271838,0.070710826,0.000292261,0.000100016,0.05
316,0.084271838,0.070710826,0.000292261,0.000100016,0.05
317,0.084271838,0.070710826,0.000292261,0.000100016,0.05
318,0.084271838,0.070710826,0.000292261,0.000100016,0.05
319,0.084271838,0.070710826,0.000292261,0.000100016,0.05
320,0.084271838,0.070710826,0.000292261,0.000100016,0.05
321,0.084271838,0.070710826,0.000292261,0.000100016,0.05
322,0.084271838,0.070710826,0.000292261,0.000100016,0.05
323,0.084271838,0.070710826,0.000292261,0.000100016,0.05
324,0.084271838,0.070710826,0.000292261,0.000100016,0.05
325,0.084271838,0.070710826,0.000292261,0.000100016,0.05
326,0.065814836,0.117227467,0.00035391,0.000100016,0.05
327,0.065814836,0.117227467,0.00035391,0.000100016,0.05
328,0.065814836,0.117227467,0.00035391,0.000100016,0.05
329,0.065814836,0.117227467,0.00035391,0.000100016,0.05
330,0.065814836,0.117227467,0.00035391,0.000100016,0.05
331,0.065814836,0.117227467,0.00035391,0.000100016,0.05
332,0.065814836,0.117227467,0.00035391,0.000100016,0.05
333,0.065814836,0.117227467,0.00035391,0.000100016,0.05
334,0.065814836,0.117227467,0.00035391,0.000100016,0.05
335,0.065814836,0.117227467,0.00035391,0.000100016,0.05
336,0.079131646,0.116408666,0.000287604,0.000100159,0.05
337,0.079131646,0.116408666,0.000287604,0.000100159,0.05
338,0.079131646,0.116408666,0.000287604,0.000100159,0.05
339,0.079131646,0.116408666,0.000287604,0.000100159,0.05
340,0.079131646,0.116408666,0.000287604,0.000100159,0.05
341,0.079131646,0.116408666,0.000287604,0.000100159,0.05
342,0.079131646,0.116408666,0.000287604,0.000100159,0.05
343,0.079131646,0.116408666,0.000287604,0.000100159,0.05
344,0.079131646,0.116408666,0.000287604,0.000100159,0.05
345,0.079131646,0.116408666,0.000287604,0.000100159,0.05
346,0.079131646,0.116408666,0.000287604,0.000100159,0.05
347,0.079131646,0.116408666,0.000287604,0.000100159,0.05
348,0.079131646,0.116408666,0.000287604,0.000100159,0.05
349,0.079131646,0.116408666,0.000287604,0.000100159,0.05
350,0.079131646,0.116408666,0.000287604,0.000100159,0.05
351,0.079131646,0.116408666,0.000287604,0.000100159,0.05
352,0.079131646,0.116408666,0.000287604,0.000100159,0.05
353,0.079131646,0.116408666,0.000287604,0.000100159,0.05
354,0.079131646,0.116408666,0.000287604,0.000100159,0.05
355,0.079131646,0.116408666,0.000287604,0.000100159,0.05
356,0.079131646,0.116408666,0.000287604,0.000100159,0.05
357,0.079131646,0.116408666,0.000287604,0.000100159,0.05
358,0.093461259,0.087248248,0.000291836,0.000101944,0.05
359,0.093461259,0.087248248,0.000291836,0.000101944,0.05
360,0.093461259,0.087248248,0.000291836,0.000101944,0.05
361,0.093461259,0.087248248,0.000291836,0.000101944,0.05
362,0.093461259,0.087248248,0.000291836,0.000101944,0.05
363,0.093461259,0.087248248,0.000291836,0.000101944,0.05
364,0.093461259,0.087248248,0.000291836,0.000101944,0.05
365,0.093461259,0.087248248,0.000291836,0.000101944,0.05
366,0.093461259,0.087248248,0.000291836,0.000101944,0.05
367,0.093461259,0.087248248,0.000291836,0.000101944,0.05
368,0.093461259,0.087248248,0.000291836,0.000101944,0.05
369,0.093461259,0.087248248,0.000291836,0.000101944,0.05
370,0.093461259,0.087248248,0.000291836,0.000101944,0.05
371,0.093461259,0.087248248,0.000291836,0.000101944,0.05
372,0.093461259,0.087248248,0.000291836,0.000101944,0.05
373,0.093461259,0.087248248,0.000291836,0.000101944,0.05
374,0.093461259,0.087248248,0.000291836,0.000101944,0.05
375,0.093461259,0.087248248,0.000291836,0.000101944,0.05
376,0.093461259,0.087248248,0.000291836,0.000101944,0.05
377,0.093461259,0.087248248,0.000291836,0.000101944,0.05
378,0.093461259,0.087248248,0.000291836,0.000101944,0.05
379,0.093461259,0.087248248,0.000291836,0.000101944,0.05
380,0.093461259,0.087248248,0.000291836,0.000101944,0.05
381,0.093461259,0.087248248,0.000291836,0.000101944,0.05
382,0.093461259,0.087248248,0.000291836,0.000101944,0.05
383,0.116704501,0.086358339,0.000429029,0.000100031,0.05
384,0.116704501,0.086358339,0.000429029,0.000100031,0.05
385,0.116704501,0.086358339,0.000429029,0.000100031,0.05
386,0.116704501,0.086358339,0.000429029,0.000100031,0.05
387,0.116704501,0.086358339,0.000429029,0.000100031,0.05
388,0.116704501,0.086358339,0.000429029,0.000100031,0.05
389,0.116704501,0.086358339,0.000429029,0.000100031,0.05
390,0.116704501,0.086358339,0.000429029,0.000100031,0.05
391,0.116704501,0.086358339,0.000429029,0.000100031,0.05
