t,beta,r,d,gamma,sigma
411,0.024192184,0.035635412,0.000653707,0.000103597,0.05
412,0.024192184,0.035635412,0.000653707,0.000103597,0.05
413,0.024192184,0.035635412,0.000653707,0.000103597,0.05
414,0.024192184,0.035635412,0.000653707,0.000103597,0.05
415,0.024192184,0.035635412,0.000653707,0.000103597,0.05
416,0.024192184,0.035635412,0.000653707,0.000103597,0.05
417,0.024192184,0.035635412,0.000653707,0.000103597,0.05
418,0.019833499,0.040850597,0.000540651,0.000102967,0.05
419,0.019833499,0.040850597,0.000540651,0.000102967,0.05
420,0.019833499,0.040850597,0.000540651,0.000102967,0.05
421,0.019833499,0.040850597,0.000540651,0.000102967,0.05
422,0.019833499,0.040850597,0.000540651,0.000102967,0.05
423,0.019833499,0.040850597,0.000540651,0.000102967,0.05
424,0.019833499,0.040850597,0.000540651,0.000102967,0.05
425,0.019833499,0.040850597,0.000540651,0.000102967,0.05
426,0.019833499,0.040850597,0.000540651,0.000102967,0.05
427,0.014952167,0.035595826,0.000468905,0.000100978,0.05
428,0.014952167,0.035595826,0.000468905,0.000100978,0.05
429,0.014952167,0.035595826,0.000468905,0.000100978,0.05
430,0.014952167,0.035595826,0.000468905,0.000100978,0.05
431,0.014952167,0.035595826,0.000468905,0.000100978,0.05
432,0.014952167,0.035595826,0.000468905,0.000100978,0.05
433,0.014952167,0.035595826,0.000468905,0.000100978,0.05
434,0.014952167,0.035595826,0.000468905,0.000100978,0.05
435,0.012167125,0.037711981,0.000445242,0.000100095,0.05
436,0.012167125,0.037711981,0.000445242,0.000100095,0.05
437,0.012167125,0.037711981,0.000445242,0.000100095,0.05
438,0.012167125,0.037711981,0.000445242,0.000100095,0.05
439,0.012167125,0.037711981,0.000445242,0.000100095,0.05
440,0.012167125,0.037711981,0.000445242,0.000100095,0.05
441,0.012167125,0.037711981,0.000445242,0.000100095,0.05
442,0.01048834,0.042243318,0.000340141,0.000103516,0.05
443,0.01048834,0.042243318,0.000340141,0.000103516,0.05
444,0.01048834,0.042243318,0.000340141,0.000103516,0.05
445,0.01048834,0.042243318,0.000340141,0.000103516,0.05
446,0.01048834,0.042243318,0.000340141,0.000103516,0.05
447,0.01048834,0.042243318,0.000340141,0.000103516,0.05
448,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
449,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
450,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
451,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
452,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
453,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
454,0.010002334,0.036929216,0.000406849,9.85E-05,0.05
455,0.009947381,0.077093838,0.000303249,0.000103029,0.05
456,0.009947381,0.077093838,0.000303249,0.000103029,0.05
457,0.009947381,0.077093838,0.000303249,0.000103029,0.05
458,0.009947381,0.077093838,0.000303249,0.000103029,0.05
459,0.009947381,0.077093838,0.000303249,0.000103029,0.05
